,episode_id,total_characters,top_star,talking_time,1.0_l_id,3.0_l_id,5.0_l_id,8.0_l_id,10.0_l_id,15.0_l_id,28.0_l_id,44.0_l_id,48.0_l_id,50.0_l_id,51.0_l_id,53.0_l_id,71.0_l_id,79.0_l_id,131.0_l_id,136.0_l_id,151.0_l_id,188.0_l_id,190.0_l_id,192.0_l_id,194.0_l_id,216.0_l_id,270.0_l_id,297.0_l_id,387.0_l_id,396.0_l_id,410.0_l_id,493.0_l_id,573.0_l_id,701.0_l_id,1.0_c_id,2.0_c_id,3.0_c_id,8.0_c_id,9.0_c_id,11.0_c_id,14.0_c_id,15.0_c_id,17.0_c_id,18.0_c_id,22.0_c_id,25.0_c_id,31.0_c_id,33.0_c_id,40.0_c_id,71.0_c_id,101.0_c_id,139.0_c_id,140.0_c_id,153.0_c_id,165.0_c_id,170.0_c_id,208.0_c_id,211.0_c_id,240.0_c_id,332.0_c_id,404.0_c_id,442.0_c_id,801.0_c_id,1078.0_c_id,id,original_air_date,season,number_in_season,number_in_series,us_viewers_in_millions,views,imbd_rating,imbd_votes,imbd_category
0,1,37,0,18.946666666666665,0.004822597313124354,0.0,0.4143988976920427,0.07819497071994488,0.021701687909059592,0.021701687909059592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037891836031691355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12848777127109887,0.3100241129865656,0.01619014812263176,0.11539786427833276,0.07647261453668619,0.019290389252497417,0.006200482259731312,0.015501205649328281,0.008956252152945229,0.03926972097829831,0.012400964519462624,0.006544953496383052,0.0013778849466069584,0.045125732001377886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1989-12-17,1,1,1,26.7,171408.0,8.2,3734,High
1,2,21,0,16.88,0.0,0.18827838827838828,0.24285714285714285,0.0,0.0,0.0,0.17912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13296703296703297,0.0,0.06336996336996337,0.1989010989010989,0.06373626373626373,0.22673992673992674,0.02600732600732601,0.0,0.0,0.0,0.0,0.0,0.0,0.0032967032967032967,0.0,0.0,0.031868131868131866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1990-01-14,1,2,2,24.5,91423.0,7.8,1973,High
2,3,33,0,17.06,0.0410783055198973,0.04022250748823278,0.1647411210954215,0.0,0.07616602481814291,0.03423192126658109,0.0,0.0,0.0,0.044501497646555414,0.16260162601626016,0.0,0.08429610611895592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058622165169020114,0.3645699614890886,0.0,0.08943089430894309,0.023106546854942234,0.0,0.045785194694052206,0.07787762088147197,0.03423192126658109,0.0,0.0,0.0,0.0,0.0,0.08172871202396234,0.014548566538296961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1990-01-21,1,3,3,27.5,78072.0,7.5,1709,Med
3,4,33,0,17.2,0.0,0.0,0.16969247869581328,0.0,0.007780659503519822,0.1289366432011856,0.0,0.0,0.0,0.0,0.0,0.07261948869951834,0.0,0.0,0.0,0.0,0.003705075954057058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12078547610226009,0.32160059281215264,0.0,0.0700259355316784,0.05557613931085587,0.0,0.022600963319748056,0.07521304186735828,0.01148573545757688,0.00963319748054835,0.0,0.0,0.0,0.018525379770285292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1990-01-28,1,4,4,20.2,67378.0,7.8,1701,High
4,5,21,0,16.76,0.004329004329004329,0.0,0.25068870523415976,0.0,0.0,0.0,0.0,0.12672176308539945,0.0,0.06847697756788666,0.0,0.0,0.07123179850452578,0.01023219205037387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05509641873278237,0.1503345139708776,0.03109012199921291,0.31286894923258557,0.0881542699724518,0.0,0.0,0.0,0.0,0.0,0.0,0.011412829594647777,0.11648957103502558,0.0,0.0,0.0,0.053128689492325853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1990-02-04,1,5,5,27.1,63129.0,8.1,1732,High
5,6,19,0,15.44,0.0,0.0,0.5093945720250522,0.0,0.0,0.025052192066805846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16450939457202504,0.24467640918580374,0.0,0.16701461377870563,0.14154488517745303,0.0,0.0,0.0,0.022129436325678497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1990-02-11,1,6,6,27.4,55355.0,7.6,1674,Med
6,7,27,0,14.693333333333333,0.0,0.0,0.01831992850759607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08534405719392314,0.33288650580875784,0.0,0.07864164432529044,0.03038427167113494,0.012064343163538873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1990-02-18,1,7,7,27.6,57793.0,7.9,1638,High
7,8,37,1,15.858333333333333,0.06233166602539438,0.0,0.26510196229318966,0.0,0.0,0.014236244709503656,0.0,0.0,0.04424778761061947,0.19699884570988843,0.0,0.0,0.0,0.0,0.11812235475182763,0.01846864178530204,0.09503655252020007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10619469026548672,0.19353597537514428,0.0026933435936898806,0.21354367064255483,0.020777222008464793,0.0,0.005001923816852636,0.009619084263178146,0.010388611004232396,0.00923432089265102,0.0,0.002308580223162755,0.011542901115813775,0.004232397075798384,0.0011542901115813775,0.010388611004232396,0.0,0.026933435936898807,0.029626779530588686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1990-02-25,1,8,8,28.0,66311.0,7.7,1580,Med
8,9,17,0,15.905,0.0,0.0,0.3338735818476499,0.013371150729335495,0.020664505672609402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03889789303079417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21110210696920584,0.20461912479740682,0.0,0.11871961102106969,0.08184764991896272,0.0,0.0,0.0,0.0,0.0,0.01012965964343598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007698541329011345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1990-03-18,1,9,9,33.5,64776.0,7.5,1578,Med
9,10,41,0,16.95,0.0003966679888932963,0.05751685838952796,0.19238397461324871,0.0,0.016660055533518445,0.0218167393891313,0.0,0.0,0.0,0.0,0.08488694962316541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12376041253470844,0.32963109877032926,0.0,0.10313367711225704,0.013486711622372074,0.0,0.012693375644585482,0.0757635858786196,0.00753669178897263,0.03411344704482348,0.0,0.009520031733439112,0.0,0.0,0.0,0.0,0.0,0.0,0.00436334787782626,0.0,0.00436334787782626,0.01190003966679889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1990-03-25,1,10,10,30.3,50816.0,7.4,1511,Med
