writer,writer_url,production_code,title
Judd Apatow,https://simpsonswiki.com/wiki/Judd_Apatow,TABF05,"""Bart's New Friend"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,3F06,"""Mother Simpson"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,3F17,"""Bart on the Road"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,3F18,"""22 Short Films About Springfield"" – contributor"
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,4F06,"""Bart After Dark"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,4F21,"""The Secret War of Lisa Simpson"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,5F04,"""The Two Mrs. Nahasapeemapetilons"""
Richard Appel,https://simpsonswiki.com/wiki/Richard_Appel,5F19,"""When You Dish Upon a Star"""
Gary Apple,https://simpsonswiki.com/wiki/Gary_Apple,9F09,"""Homer's Triple Bypass"" – with Michael Carrington"
Jack Barth,https://simpsonswiki.com/wiki/Jack_Barth,3F15,"""A Fish Called Selma"""
Bob Bendetson,https://simpsonswiki.com/wiki/Bob_Bendetson,CABF17,"""Simpsons Tall Tales"" (Connie Appleseed)"
Bob Bendetson,https://simpsonswiki.com/wiki/Bob_Bendetson,DABF10,"""Blame It on Lisa"""
Dick Blasucci,https://simpsonswiki.com/wiki/Dick_Blasucci,NABF12,"""The Real Housewives of Fat Tony"""
Neal Boushell,https://simpsonswiki.com/wiki/Neal_Boushell,EABF06,"""Pray Anything"" - with Sam O'Neal"
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,EABF17,"""Moe Baby Blues"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,FABF13,"""The Way We Weren't"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,GABF04,"""There's Something About Marrying"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,HABF14,"""The Monkey Suit"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,JABF06,"""Homerazzi"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,JABF10,"""Marge Gamer"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,KABF02,"""Eternal Moonshine of the Simpson Mind"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,LABF10,"""Waverly Hills 9-0-2-1-D'oh"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,NABF15,"""Holidays of Future Passed"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,PABF04,"""The D'oh-cial Network"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,RABF08,"""What Animated Women Want"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,SABF05,"""Steal This Episode"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,SABF13,"""Days of Future Future"""
J. Stewart Burns,https://simpsonswiki.com/wiki/J._Stewart_Burns,SABF16,"""Simpsorama"""
Neil Campbell,https://simpsonswiki.com/wiki/Neil_Campbell,TABF04,"""The Musk Who Fell to Earth"""
Bill Canterbury,https://simpsonswiki.com/wiki/Bill_Canterbury,1F03,"""Marge on the Lam"""
Bill Canterbury,https://simpsonswiki.com/wiki/Bill_Canterbury,1F04,"""Treehouse of Horror IV (Bart Simpson's ""Dracula"")"
Michael Carrington,https://simpsonswiki.com/wiki/Michael_Carrington,9F09,"""Homer's Triple Bypass"" — with Gary Apple"
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,4F18,"""In Marge We Trust"""
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,5F03,"""Bart Star"""
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,5F10,"""The Last Temptation of Krust"""
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,AABF01,"""Treehouse of Horror IX"" (Hell Toupee)"
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,AABF02,"""D'oh-in' in the Wind"""
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,AABF20,"""Thirty Minutes Over Tokyo"" — with Dan Greaney"
Donick Cary,https://simpsonswiki.com/wiki/Donick_Cary,BABF01,"""Treehouse of Horror X"" (I Know What You Diddily-Iddily Did)"
Dan Castellaneta,https://simpsonswiki.com/wiki/Dan_Castellaneta,BABF14,"""Days of Wine and D'oh'ses"" - with Deb Lacusta"
Dan Castellaneta,https://simpsonswiki.com/wiki/Dan_Castellaneta,DABF12,"""Gump Roast"" - with Deb Lacusta"
